feedback_id,bearing_id,raw_label,fault_type,fault_position,fault_severity,diagnosis_confidence,rca_text,fault_evolution_text,rca_confidence,true_reason_id,true_reason_type,true_stage
BFB-01061,BRG-01061,B007,rolling_element_fault,rolling_element,slight,0.7435,结合振动、峭度和温升特征，滚动体故障与检测阶段异常高度一致，优先追溯到 BINSP-01061。,风险首先在检测阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.6543,BINSP-01061,InspectionRecord,inspection
BFB-01062,BRG-01062,B014,rolling_element_fault,rolling_element,medium,0.7377,该样本的生命周期风险在装配阶段较突出，能够解释当前中等滚动体故障的主要失效模式。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为中等滚动体故障。,0.652,BASM-01062,AssemblyRecord,assembly
BFB-01063,BRG-01063,Normal,normal,none,normal,0.8925,该轴承样本生命周期风险较低，未形成明确故障追溯链。,运行状态平稳，检测指标未呈现持续恶化趋势。,0.835,NORMAL_BASELINE,QualityFeedback,feedback
BFB-01064,BRG-01064,IR014,inner_race_fault,inner_race,medium,0.7156,诊断结果显示轴承出现中等内圈故障，根因更可能来自装配阶段实体 BASM-01064 的风险累积。,风险首先在装配阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.6606,BASM-01064,AssemblyRecord,assembly
BFB-01065,BRG-01065,IR014,inner_race_fault,inner_race,medium,0.6812,结合振动、峭度和温升特征，内圈故障与装配阶段异常高度一致，优先追溯到 BASM-01065。,风险首先在装配阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.7412,BASM-01065,AssemblyRecord,assembly
BFB-01066,BRG-01066,IR014,inner_race_fault,inner_race,medium,0.6901,诊断结果显示轴承出现中等内圈故障，根因更可能来自装配阶段实体 BASM-01066 的风险累积。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为中等内圈故障。,0.7424,BASM-01066,AssemblyRecord,assembly
BFB-01067,BRG-01067,OR014,outer_race_fault,outer_race,medium,0.6808,该样本的生命周期风险在运维阶段较突出，能够解释当前中等外圈故障的主要失效模式。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.6413,BOPR-01067,MaintenanceRecord,operation
BFB-01068,BRG-01068,IR014,inner_race_fault,inner_race,medium,0.7045,结合振动、峭度和温升特征，内圈故障与材料阶段异常高度一致，优先追溯到 BMAT-00407。,风险首先在材料阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.7139,BMAT-00407,MaterialBatch,material
BFB-01069,BRG-01069,OR014,outer_race_fault,outer_race,medium,0.7462,该样本的生命周期风险在制造阶段较突出，能够解释当前中等外圈故障的主要失效模式。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为中等外圈故障。,0.7069,BMAN-01110,ManufacturingBatch,manufacturing
BFB-01070,BRG-01070,IR014,inner_race_fault,inner_race,medium,0.7082,诊断结果显示轴承出现中等内圈故障，根因更可能来自材料阶段实体 BMAT-00189 的风险累积。,风险首先在材料阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.6611,BMAT-00189,MaterialBatch,material
BFB-01071,BRG-01071,Normal,normal,none,normal,0.9441,该轴承样本生命周期风险较低，未形成明确故障追溯链。,运行状态平稳，检测指标未呈现持续恶化趋势。,0.7998,NORMAL_BASELINE,QualityFeedback,feedback
BFB-01072,BRG-01072,IR021,inner_race_fault,inner_race,severe,0.6694,诊断结果显示轴承出现严重内圈故障，根因更可能来自制造阶段实体 BMAN-01137 的风险累积。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.805,BMAN-01137,ManufacturingBatch,manufacturing
BFB-01073,BRG-01073,OR014,outer_race_fault,outer_race,medium,0.6652,结合振动、峭度和温升特征，外圈故障与材料阶段异常高度一致，优先追溯到 BMAT-00136。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.7005,BMAT-00136,MaterialBatch,material
BFB-01074,BRG-01074,IR007,inner_race_fault,inner_race,slight,0.6262,诊断结果显示轴承出现轻微内圈故障，根因更可能来自检测阶段实体 BINSP-01074 的风险累积。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为轻微内圈故障。,0.6929,BINSP-01074,InspectionRecord,inspection
BFB-01075,BRG-01075,OR021,outer_race_fault,outer_race,severe,0.7422,诊断结果显示轴承出现严重外圈故障，根因更可能来自检测阶段实体 BINSP-01075 的风险累积。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为严重外圈故障。,0.7479,BINSP-01075,InspectionRecord,inspection
BFB-01076,BRG-01076,OR007,outer_race_fault,outer_race,slight,0.7525,该样本的生命周期风险在设计阶段较突出，能够解释当前轻微外圈故障的主要失效模式。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为轻微外圈故障。,0.6766,BDES-00741,BearingDesignSpec,design
BFB-01077,BRG-01077,B014,rolling_element_fault,rolling_element,medium,0.7314,该样本的生命周期风险在设计阶段较突出，能够解释当前中等滚动体故障的主要失效模式。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.6787,BDES-00122,BearingDesignSpec,design
BFB-01078,BRG-01078,B014,rolling_element_fault,rolling_element,medium,0.7136,该样本的生命周期风险在装配阶段较突出，能够解释当前中等滚动体故障的主要失效模式。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为中等滚动体故障。,0.651,BASM-01078,AssemblyRecord,assembly
BFB-01079,BRG-01079,OR014,outer_race_fault,outer_race,medium,0.6801,结合振动、峭度和温升特征，外圈故障与材料阶段异常高度一致，优先追溯到 BMAT-00430。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.6507,BMAT-00430,MaterialBatch,material
BFB-01080,BRG-01080,OR014,outer_race_fault,outer_race,medium,0.7198,结合振动、峭度和温升特征，外圈故障与装配阶段异常高度一致，优先追溯到 BASM-01080。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.6648,BASM-01080,AssemblyRecord,assembly
BFB-01081,BRG-01081,B021,rolling_element_fault,rolling_element,severe,0.7445,该样本的生命周期风险在设计阶段较突出，能够解释当前严重滚动体故障的主要失效模式。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为严重滚动体故障。,0.5987,BDES-00389,BearingDesignSpec,design
BFB-01082,BRG-01082,IR014,inner_race_fault,inner_race,medium,0.727,诊断结果显示轴承出现中等内圈故障，根因更可能来自装配阶段实体 BASM-01082 的风险累积。,风险首先在装配阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.7455,BASM-01082,AssemblyRecord,assembly
BFB-01083,BRG-01083,B007,rolling_element_fault,rolling_element,slight,0.7033,诊断结果显示轴承出现轻微滚动体故障，根因更可能来自制造阶段实体 BMAN-00464 的风险累积。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为轻微滚动体故障。,0.6933,BMAN-00464,ManufacturingBatch,manufacturing
BFB-01084,BRG-01084,IR007,inner_race_fault,inner_race,slight,0.6387,该样本的生命周期风险在材料阶段较突出，能够解释当前轻微内圈故障的主要失效模式。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.6057,BMAT-00488,MaterialBatch,material
BFB-01085,BRG-01085,OR021,outer_race_fault,outer_race,severe,0.722,该样本的生命周期风险在装配阶段较突出，能够解释当前严重外圈故障的主要失效模式。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.7352,BASM-01085,AssemblyRecord,assembly
BFB-01086,BRG-01086,B007,rolling_element_fault,rolling_element,slight,0.694,该样本的生命周期风险在检测阶段较突出，能够解释当前轻微滚动体故障的主要失效模式。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.6754,BINSP-01086,InspectionRecord,inspection
BFB-01087,BRG-01087,B021,rolling_element_fault,rolling_element,severe,0.6684,该样本的生命周期风险在材料阶段较突出，能够解释当前严重滚动体故障的主要失效模式。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为严重滚动体故障。,0.7193,BMAT-00303,MaterialBatch,material
BFB-01088,BRG-01088,IR021,inner_race_fault,inner_race,severe,0.7789,结合振动、峭度和温升特征，内圈故障与材料阶段异常高度一致，优先追溯到 BMAT-00299。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为严重内圈故障。,0.6495,BMAT-00299,MaterialBatch,material
BFB-01089,BRG-01089,OR014,outer_race_fault,outer_race,medium,0.7018,结合振动、峭度和温升特征，外圈故障与材料阶段异常高度一致，优先追溯到 BMAT-00098。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.6768,BMAT-00098,MaterialBatch,material
BFB-01090,BRG-01090,IR007,inner_race_fault,inner_race,slight,0.6591,结合振动、峭度和温升特征，内圈故障与装配阶段异常高度一致，优先追溯到 BASM-01090。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.6859,BASM-01090,AssemblyRecord,assembly
BFB-01091,BRG-01091,Normal,normal,none,normal,0.8717,该轴承样本生命周期风险较低，未形成明确故障追溯链。,运行状态平稳，检测指标未呈现持续恶化趋势。,0.826,NORMAL_BASELINE,QualityFeedback,feedback
BFB-01092,BRG-01092,OR014,outer_race_fault,outer_race,medium,0.7042,结合振动、峭度和温升特征，外圈故障与材料阶段异常高度一致，优先追溯到 BMAT-00128。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为中等外圈故障。,0.7624,BMAT-00128,MaterialBatch,material
BFB-01093,BRG-01093,Normal,normal,none,normal,0.8706,该轴承样本生命周期风险较低，未形成明确故障追溯链。,运行状态平稳，检测指标未呈现持续恶化趋势。,0.8542,NORMAL_BASELINE,QualityFeedback,feedback
BFB-01094,BRG-01094,Normal,normal,none,normal,0.9165,该轴承样本生命周期风险较低，未形成明确故障追溯链。,运行状态平稳，检测指标未呈现持续恶化趋势。,0.8753,NORMAL_BASELINE,QualityFeedback,feedback
BFB-01095,BRG-01095,IR014,inner_race_fault,inner_race,medium,0.7444,该样本的生命周期风险在制造阶段较突出，能够解释当前中等内圈故障的主要失效模式。,风险首先在制造阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.7118,BMAN-00454,ManufacturingBatch,manufacturing
BFB-01096,BRG-01096,OR014,outer_race_fault,outer_race,medium,0.7808,结合振动、峭度和温升特征，外圈故障与制造阶段异常高度一致，优先追溯到 BMAN-01002。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.6611,BMAN-01002,ManufacturingBatch,manufacturing
BFB-01097,BRG-01097,IR014,inner_race_fault,inner_race,medium,0.6976,诊断结果显示轴承出现中等内圈故障，根因更可能来自材料阶段实体 BMAT-00388 的风险累积。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.7135,BMAT-00388,MaterialBatch,material
BFB-01098,BRG-01098,B014,rolling_element_fault,rolling_element,medium,0.6599,诊断结果显示轴承出现中等滚动体故障，根因更可能来自检测阶段实体 BINSP-01098 的风险累积。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为中等滚动体故障。,0.6943,BINSP-01098,InspectionRecord,inspection
BFB-01099,BRG-01099,B007,rolling_element_fault,rolling_element,slight,0.6594,该样本的生命周期风险在装配阶段较突出，能够解释当前轻微滚动体故障的主要失效模式。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为轻微滚动体故障。,0.6679,BASM-01099,AssemblyRecord,assembly
BFB-01100,BRG-01100,Normal,normal,none,normal,0.8761,该轴承样本生命周期风险较低，未形成明确故障追溯链。,运行状态平稳，检测指标未呈现持续恶化趋势。,0.7807,NORMAL_BASELINE,QualityFeedback,feedback
BFB-01101,BRG-01101,OR021,outer_race_fault,outer_race,severe,0.6853,结合振动、峭度和温升特征，外圈故障与材料阶段异常高度一致，优先追溯到 BMAT-00247。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为严重外圈故障。,0.6956,BMAT-00247,MaterialBatch,material
BFB-01102,BRG-01102,B014,rolling_element_fault,rolling_element,medium,0.7084,该样本的生命周期风险在制造阶段较突出，能够解释当前中等滚动体故障的主要失效模式。,风险首先在制造阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.746,BMAN-00881,ManufacturingBatch,manufacturing
BFB-01103,BRG-01103,IR007,inner_race_fault,inner_race,slight,0.6421,该样本的生命周期风险在制造阶段较突出，能够解释当前轻微内圈故障的主要失效模式。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为轻微内圈故障。,0.6996,BMAN-01061,ManufacturingBatch,manufacturing
BFB-01104,BRG-01104,OR014,outer_race_fault,outer_race,medium,0.6836,结合振动、峭度和温升特征，外圈故障与检测阶段异常高度一致，优先追溯到 BINSP-01104。,风险首先在检测阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.6627,BINSP-01104,InspectionRecord,inspection
BFB-01105,BRG-01105,IR007,inner_race_fault,inner_race,slight,0.6971,结合振动、峭度和温升特征，内圈故障与装配阶段异常高度一致，优先追溯到 BASM-01105。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为轻微内圈故障。,0.5945,BASM-01105,AssemblyRecord,assembly
BFB-01106,BRG-01106,B014,rolling_element_fault,rolling_element,medium,0.7075,结合振动、峭度和温升特征，滚动体故障与检测阶段异常高度一致，优先追溯到 BINSP-01106。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为中等滚动体故障。,0.7375,BINSP-01106,InspectionRecord,inspection
BFB-01107,BRG-01107,B021,rolling_element_fault,rolling_element,severe,0.7806,结合振动、峭度和温升特征，滚动体故障与运维阶段异常高度一致，优先追溯到 BOPR-01107。,风险首先在运维阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.7496,BOPR-01107,MaintenanceRecord,operation
BFB-01108,BRG-01108,OR014,outer_race_fault,outer_race,medium,0.7032,诊断结果显示轴承出现中等外圈故障，根因更可能来自材料阶段实体 BMAT-00222 的风险累积。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.7065,BMAT-00222,MaterialBatch,material
BFB-01109,BRG-01109,IR014,inner_race_fault,inner_race,medium,0.6352,该样本的生命周期风险在装配阶段较突出，能够解释当前中等内圈故障的主要失效模式。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为中等内圈故障。,0.6483,BASM-01109,AssemblyRecord,assembly
BFB-01110,BRG-01110,OR007,outer_race_fault,outer_race,slight,0.7151,诊断结果显示轴承出现轻微外圈故障，根因更可能来自制造阶段实体 BMAN-01180 的风险累积。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为轻微外圈故障。,0.6631,BMAN-01180,ManufacturingBatch,manufacturing
BFB-01111,BRG-01111,Normal,normal,none,normal,0.8709,该轴承样本生命周期风险较低，未形成明确故障追溯链。,运行状态平稳，检测指标未呈现持续恶化趋势。,0.8984,NORMAL_BASELINE,QualityFeedback,feedback
BFB-01112,BRG-01112,IR014,inner_race_fault,inner_race,medium,0.6735,结合振动、峭度和温升特征，内圈故障与制造阶段异常高度一致，优先追溯到 BMAN-00895。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.6519,BMAN-00895,ManufacturingBatch,manufacturing
BFB-01113,BRG-01113,OR007,outer_race_fault,outer_race,slight,0.709,结合振动、峭度和温升特征，外圈故障与制造阶段异常高度一致，优先追溯到 BMAN-00423。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.6146,BMAN-00423,ManufacturingBatch,manufacturing
BFB-01114,BRG-01114,OR021,outer_race_fault,outer_race,severe,0.7448,该样本的生命周期风险在检测阶段较突出，能够解释当前严重外圈故障的主要失效模式。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.6311,BINSP-01114,InspectionRecord,inspection
BFB-01115,BRG-01115,OR007,outer_race_fault,outer_race,slight,0.7087,诊断结果显示轴承出现轻微外圈故障，根因更可能来自检测阶段实体 BINSP-01115 的风险累积。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为轻微外圈故障。,0.5886,BINSP-01115,InspectionRecord,inspection
BFB-01116,BRG-01116,B021,rolling_element_fault,rolling_element,severe,0.7218,该样本的生命周期风险在装配阶段较突出，能够解释当前严重滚动体故障的主要失效模式。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为严重滚动体故障。,0.7479,BASM-01116,AssemblyRecord,assembly
BFB-01117,BRG-01117,OR021,outer_race_fault,outer_race,severe,0.7172,结合振动、峭度和温升特征，外圈故障与装配阶段异常高度一致，优先追溯到 BASM-01117。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.683,BASM-01117,AssemblyRecord,assembly
BFB-01118,BRG-01118,B014,rolling_element_fault,rolling_element,medium,0.6852,该样本的生命周期风险在运维阶段较突出，能够解释当前中等滚动体故障的主要失效模式。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为中等滚动体故障。,0.7251,BOPR-01118,MaintenanceRecord,operation
BFB-01119,BRG-01119,OR021,outer_race_fault,outer_race,severe,0.7773,该样本的生命周期风险在装配阶段较突出，能够解释当前严重外圈故障的主要失效模式。,风险首先在装配阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.6874,BASM-01119,AssemblyRecord,assembly
BFB-01120,BRG-01120,OR014,outer_race_fault,outer_race,medium,0.6863,诊断结果显示轴承出现中等外圈故障，根因更可能来自运维阶段实体 BOPR-01120 的风险累积。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为中等外圈故障。,0.7434,BOPR-01120,MaintenanceRecord,operation
BFB-01121,BRG-01121,B021,rolling_element_fault,rolling_element,severe,0.6678,该样本的生命周期风险在装配阶段较突出，能够解释当前严重滚动体故障的主要失效模式。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.6676,BASM-01121,AssemblyRecord,assembly
BFB-01122,BRG-01122,IR021,inner_race_fault,inner_race,severe,0.6825,结合振动、峭度和温升特征，内圈故障与装配阶段异常高度一致，优先追溯到 BASM-01122。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为严重内圈故障。,0.7588,BASM-01122,AssemblyRecord,assembly
BFB-01123,BRG-01123,OR014,outer_race_fault,outer_race,medium,0.6221,诊断结果显示轴承出现中等外圈故障，根因更可能来自装配阶段实体 BASM-01123 的风险累积。,风险首先在装配阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.6664,BASM-01123,AssemblyRecord,assembly
BFB-01124,BRG-01124,OR007,outer_race_fault,outer_race,slight,0.6716,该样本的生命周期风险在检测阶段较突出，能够解释当前轻微外圈故障的主要失效模式。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为轻微外圈故障。,0.7239,BINSP-01124,InspectionRecord,inspection
BFB-01125,BRG-01125,OR021,outer_race_fault,outer_race,severe,0.6628,诊断结果显示轴承出现严重外圈故障，根因更可能来自材料阶段实体 BMAT-00084 的风险累积。,风险首先在材料阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.7178,BMAT-00084,MaterialBatch,material
BFB-01126,BRG-01126,Normal,normal,none,normal,0.9163,该轴承样本生命周期风险较低，未形成明确故障追溯链。,运行状态平稳，检测指标未呈现持续恶化趋势。,0.8594,NORMAL_BASELINE,QualityFeedback,feedback
BFB-01127,BRG-01127,B014,rolling_element_fault,rolling_element,medium,0.6344,该样本的生命周期风险在检测阶段较突出，能够解释当前中等滚动体故障的主要失效模式。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为中等滚动体故障。,0.6592,BINSP-01127,InspectionRecord,inspection
BFB-01128,BRG-01128,OR021,outer_race_fault,outer_race,severe,0.7258,结合振动、峭度和温升特征，外圈故障与材料阶段异常高度一致，优先追溯到 BMAT-00451。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.7338,BMAT-00451,MaterialBatch,material
BFB-01129,BRG-01129,IR007,inner_race_fault,inner_race,slight,0.6982,该样本的生命周期风险在装配阶段较突出，能够解释当前轻微内圈故障的主要失效模式。,风险首先在装配阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.6051,BASM-01129,AssemblyRecord,assembly
BFB-01130,BRG-01130,OR007,outer_race_fault,outer_race,slight,0.627,该样本的生命周期风险在材料阶段较突出，能够解释当前轻微外圈故障的主要失效模式。,风险首先在材料阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.6083,BMAT-00034,MaterialBatch,material
BFB-01131,BRG-01131,IR007,inner_race_fault,inner_race,slight,0.6195,结合振动、峭度和温升特征，内圈故障与制造阶段异常高度一致，优先追溯到 BMAN-00499。,风险首先在制造阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.6221,BMAN-00499,ManufacturingBatch,manufacturing
BFB-01132,BRG-01132,OR021,outer_race_fault,outer_race,severe,0.7484,结合振动、峭度和温升特征，外圈故障与制造阶段异常高度一致，优先追溯到 BMAN-01072。,风险首先在制造阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.6471,BMAN-01072,ManufacturingBatch,manufacturing
BFB-01133,BRG-01133,OR014,outer_race_fault,outer_race,medium,0.7377,该样本的生命周期风险在装配阶段较突出，能够解释当前中等外圈故障的主要失效模式。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为中等外圈故障。,0.6462,BASM-01133,AssemblyRecord,assembly
BFB-01134,BRG-01134,OR021,outer_race_fault,outer_race,severe,0.8081,诊断结果显示轴承出现严重外圈故障，根因更可能来自装配阶段实体 BASM-01134 的风险累积。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为严重外圈故障。,0.7106,BASM-01134,AssemblyRecord,assembly
BFB-01135,BRG-01135,IR014,inner_race_fault,inner_race,medium,0.6934,诊断结果显示轴承出现中等内圈故障，根因更可能来自制造阶段实体 BMAN-00805 的风险累积。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.7136,BMAN-00805,ManufacturingBatch,manufacturing
BFB-01136,BRG-01136,B014,rolling_element_fault,rolling_element,medium,0.7217,诊断结果显示轴承出现中等滚动体故障，根因更可能来自制造阶段实体 BMAN-00454 的风险累积。,风险首先在制造阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.7491,BMAN-00454,ManufacturingBatch,manufacturing
BFB-01137,BRG-01137,B014,rolling_element_fault,rolling_element,medium,0.6596,诊断结果显示轴承出现中等滚动体故障，根因更可能来自设计阶段实体 BDES-00213 的风险累积。,风险首先在设计阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.6724,BDES-00213,BearingDesignSpec,design
BFB-01138,BRG-01138,OR014,outer_race_fault,outer_race,medium,0.7468,该样本的生命周期风险在制造阶段较突出，能够解释当前中等外圈故障的主要失效模式。,风险首先在制造阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.7315,BMAN-00107,ManufacturingBatch,manufacturing
BFB-01139,BRG-01139,B014,rolling_element_fault,rolling_element,medium,0.7454,该样本的生命周期风险在装配阶段较突出，能够解释当前中等滚动体故障的主要失效模式。,风险首先在装配阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.6252,BASM-01139,AssemblyRecord,assembly
BFB-01140,BRG-01140,IR021,inner_race_fault,inner_race,severe,0.7436,结合振动、峭度和温升特征，内圈故障与材料阶段异常高度一致，优先追溯到 BMAT-00341。,风险首先在材料阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.6301,BMAT-00341,MaterialBatch,material
BFB-01141,BRG-01141,IR021,inner_race_fault,inner_race,severe,0.7839,结合振动、峭度和温升特征，内圈故障与材料阶段异常高度一致，优先追溯到 BMAT-00089。,风险首先在材料阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.7625,BMAT-00089,MaterialBatch,material
BFB-01142,BRG-01142,IR014,inner_race_fault,inner_race,medium,0.6613,诊断结果显示轴承出现中等内圈故障，根因更可能来自材料阶段实体 BMAT-00473 的风险累积。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为中等内圈故障。,0.6901,BMAT-00473,MaterialBatch,material
BFB-01143,BRG-01143,IR014,inner_race_fault,inner_race,medium,0.6941,结合振动、峭度和温升特征，内圈故障与制造阶段异常高度一致，优先追溯到 BMAN-00117。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.662,BMAN-00117,ManufacturingBatch,manufacturing
BFB-01144,BRG-01144,OR021,outer_race_fault,outer_race,severe,0.7917,结合振动、峭度和温升特征，外圈故障与制造阶段异常高度一致，优先追溯到 BMAN-01014。,风险首先在制造阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.7612,BMAN-01014,ManufacturingBatch,manufacturing
BFB-01145,BRG-01145,B014,rolling_element_fault,rolling_element,medium,0.6675,诊断结果显示轴承出现中等滚动体故障，根因更可能来自运维阶段实体 BOPR-01145 的风险累积。,风险首先在运维阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.7653,BOPR-01145,MaintenanceRecord,operation
BFB-01146,BRG-01146,OR014,outer_race_fault,outer_race,medium,0.7239,该样本的生命周期风险在制造阶段较突出，能够解释当前中等外圈故障的主要失效模式。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为中等外圈故障。,0.6917,BMAN-00105,ManufacturingBatch,manufacturing
BFB-01147,BRG-01147,Normal,normal,none,normal,0.9149,该轴承样本生命周期风险较低，未形成明确故障追溯链。,运行状态平稳，检测指标未呈现持续恶化趋势。,0.8878,NORMAL_BASELINE,QualityFeedback,feedback
BFB-01148,BRG-01148,B014,rolling_element_fault,rolling_element,medium,0.7787,诊断结果显示轴承出现中等滚动体故障，根因更可能来自装配阶段实体 BASM-01148 的风险累积。,风险首先在装配阶段形成隐患，运行中持续放大，并通过温度与振动指标表现出来。,0.6145,BASM-01148,AssemblyRecord,assembly
BFB-01149,BRG-01149,IR014,inner_race_fault,inner_race,medium,0.7563,结合振动、峭度和温升特征，内圈故障与运维阶段异常高度一致，优先追溯到 BOPR-01149。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为中等内圈故障。,0.758,BOPR-01149,MaintenanceRecord,operation
BFB-01150,BRG-01150,IR014,inner_race_fault,inner_race,medium,0.6173,该样本的生命周期风险在制造阶段较突出，能够解释当前中等内圈故障的主要失效模式。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.7337,BMAN-01145,ManufacturingBatch,manufacturing
BFB-01151,BRG-01151,B007,rolling_element_fault,rolling_element,slight,0.6634,诊断结果显示轴承出现轻微滚动体故障，根因更可能来自制造阶段实体 BMAN-00642 的风险累积。,早期表现为局部接触应力升高，随后振动冲击增强，最终演化为轻微滚动体故障。,0.671,BMAN-00642,ManufacturingBatch,manufacturing
BFB-01152,BRG-01152,B021,rolling_element_fault,rolling_element,severe,0.741,该样本的生命周期风险在材料阶段较突出，能够解释当前严重滚动体故障的主要失效模式。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.6794,BMAT-00251,MaterialBatch,material
BFB-01153,BRG-01153,B014,rolling_element_fault,rolling_element,medium,0.6213,该样本的生命周期风险在装配阶段较突出，能够解释当前中等滚动体故障的主要失效模式。,异常由微小缺陷逐步发展为周期性冲击，检测指标随严重度上升而同步恶化。,0.6415,BASM-01153,AssemblyRecord,assembly
BFB-01154,BRG-01154,Normal,normal,none,normal,0.8823,该轴承样本生命周期风险较低，未形成明确故障追溯链。,运行状态平稳，检测指标未呈现持续恶化趋势。,0.8854,NORMAL_BASELINE,QualityFeedback,feedback
