case_id,feedback_id,root_sensor,root_sensor_confidence,secondary_sensor,secondary_sensor_confidence,root_component_code,root_component_name,component_confidence,rca_confidence,rca_text,fault_evolution_text
HCASE-01111,HFB-01111,PS2,0.7102,PS1,0.7569,C011,管路总成,0.7802,0.593,管路总成出现中度流量异常，生命周期风险集中在设计阶段，建议优先追溯 HPIP-00212。,设计阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-01112,HFB-01112,FS1,0.8582,FS2,0.6836,C008,液压油箱,0.7684,0.5665,过滤器出现轻微温度异常，生命周期风险集中在运维阶段，建议优先追溯 HOPR-01112。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成温度异常。
HCASE-01113,HFB-01113,FS1,0.7957,PS3,0.5476,C012,卸荷阀,0.7538,0.587,该案例表现为轻微压力异常，根因更可能由装配阶段隐患累积触发。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-01114,HFB-01114,PS2,0.7486,PS1,0.7165,C011,管路总成,0.7657,0.6155,结合传感器能量和检测记录，管路总成的振动异常与材料阶段高风险实体 HMAT-00094 一致。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成振动异常。
HCASE-01115,HFB-01115,PS6,0.8085,FS2,0.5689,C011,管路总成,0.8073,0.6281,管路总成出现中度泄漏异常，生命周期风险集中在运维阶段，建议优先追溯 HOPR-01115。,运维阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-01116,HFB-01116,PS3,0.7944,FS2,0.5444,C002,方向控制阀,0.7547,0.6157,方向控制阀出现轻微压力异常，生命周期风险集中在装配阶段，建议优先追溯 HASM-01116。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-01117,HFB-01117,TS2,0.8395,FS1,0.5724,C006,冷却器,0.7876,0.6444,该案例表现为中度温度异常，根因更可能由运维阶段隐患累积触发。,运维阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-01118,HFB-01118,PS3,0.8293,FS1,0.7233,C010,节流阀,0.7685,0.6415,该案例表现为轻微振动异常，根因更可能由制造阶段隐患累积触发。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-01119,HFB-01119,PS1,0.7091,PS5,0.5728,C011,管路总成,0.7395,0.6368,结合传感器能量和检测记录，管路总成的振动异常与运维阶段高风险实体 HOPR-01119 一致。,运维阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-01120,HFB-01120,VS1,0.7256,PS2,0.7024,C011,管路总成,0.7534,0.5756,结合传感器能量和检测记录，管路总成的流量异常与运维阶段高风险实体 HOPR-01120 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为中度故障。
HCASE-01121,HFB-01121,PS3,0.7633,PS3,0.6679,C010,节流阀,0.7115,0.5472,该案例表现为轻微泄漏异常，根因更可能由材料阶段隐患累积触发。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成泄漏异常。
HCASE-01122,HFB-01122,PS5,0.7201,FS1,0.7525,C010,节流阀,0.7142,0.6037,结合传感器能量和检测记录，节流阀的流量异常与运维阶段高风险实体 HOPR-01122 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-01123,HFB-01123,PS6,0.9157,PS2,0.7448,C005,蓄能器,0.8084,0.6478,该案例表现为轻微压力异常，根因更可能由制造阶段隐患累积触发。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成压力异常。
HCASE-01124,HFB-01124,VS1,0.9264,PS6,0.513,C001,液压泵总成,0.8154,0.6092,液压泵总成出现轻微振动异常，生命周期风险集中在设计阶段，建议优先追溯 HDES-00441。,设计阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-01125,HFB-01125,PS1,0.7934,PS2,0.5921,C012,卸荷阀,0.7934,0.632,结合传感器能量和检测记录，卸荷阀的压力异常与运维阶段高风险实体 HOPR-01125 一致。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成压力异常。
HCASE-01126,HFB-01126,TS4,0.7636,FS1,0.8056,C007,过滤器,0.7602,0.6238,结合传感器能量和检测记录，过滤器的流量异常与运维阶段高风险实体 HOPR-01126 一致。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成流量异常。
HCASE-01127,HFB-01127,PS1,0.7466,FS2,0.5307,C011,管路总成,0.7692,0.6268,该案例表现为中度振动异常，根因更可能由装配阶段隐患累积触发。,装配阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-01128,HFB-01128,TS3,0.8327,TS3,0.7286,C006,冷却器,0.761,0.6441,液压油箱出现轻微温度异常，生命周期风险集中在材料阶段，建议优先追溯 HMAT-00105。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成温度异常。
HCASE-01129,HFB-01129,FS2,0.6785,TS4,0.5502,C008,液压油箱,0.7074,0.5858,结合传感器能量和检测记录，液压油箱的振动异常与材料阶段高风险实体 HMAT-00349 一致。,材料阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-01130,HFB-01130,EPS1,0.8234,TS1,0.5143,C004,溢流阀,0.733,0.5483,结合传感器能量和检测记录，溢流阀的振动异常与材料阶段高风险实体 HMAT-00312 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-01131,HFB-01131,TS3,0.9154,TS3,0.801,C006,冷却器,0.8098,0.6225,该案例表现为轻微流量异常，根因更可能由运维阶段隐患累积触发。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成流量异常。
HCASE-01132,HFB-01132,VS1,0.7286,TS1,0.6565,C001,液压泵总成,0.7026,0.5612,结合传感器能量和检测记录，液压泵总成的阀芯卡滞与制造阶段高风险实体 HMAN-00476 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-01133,HFB-01133,PS3,0.7608,FS1,0.6742,C010,节流阀,0.7106,0.6282,结合传感器能量和检测记录，过滤器的泄漏异常与制造阶段高风险实体 HMAN-00660 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-01134,HFB-01134,PS1,0.8903,PS1,0.779,C011,管路总成,0.8518,0.6467,管路总成出现中度压力异常，生命周期风险集中在运维阶段，建议优先追溯 HOPR-01134。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成压力异常。
HCASE-01135,HFB-01135,TS3,0.7109,FS1,0.7905,C008,液压油箱,0.7276,0.5668,该案例表现为轻微流量异常，根因更可能由设计阶段隐患累积触发。,设计阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-01136,HFB-01136,FS1,0.683,TS1,0.4908,C008,液压油箱,0.6468,0.5586,液压油箱出现轻微泄漏异常，生命周期风险集中在设计阶段，建议优先追溯 HDES-00009。,设计阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-01137,HFB-01137,PS6,0.7569,PS2,0.6662,C005,蓄能器,0.6771,0.5075,该案例表现为轻微泄漏异常，根因更可能由运维阶段隐患累积触发。,运维阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-01138,HFB-01138,PS1,0.9333,PS1,0.8166,C001,液压泵总成,0.8588,0.6505,管路总成出现中度泄漏异常，生命周期风险集中在设计阶段，建议优先追溯 HPIP-00219。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为中度故障。
HCASE-01139,HFB-01139,TS4,0.8001,PS3,0.5195,C007,过滤器,0.7667,0.6721,该案例表现为中度振动异常，根因更可能由设计阶段隐患累积触发。,设计阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-01140,HFB-01140,PS2,0.751,PS5,0.5266,C009,单向阀,0.7389,0.5766,结合传感器能量和检测记录，单向阀的阀芯卡滞与制造阶段高风险实体 HMAN-00068 一致。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成阀芯卡滞。
HCASE-01141,HFB-01141,TS2,0.7276,FS1,0.5232,C006,冷却器,0.7054,0.5754,该案例表现为轻微振动异常，根因更可能由装配阶段隐患累积触发。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成振动异常。
HCASE-01142,HFB-01142,PS6,0.9231,PS6,0.8077,C005,蓄能器,0.7724,0.6495,结合传感器能量和检测记录，溢流阀的振动异常与运维阶段高风险实体 HOPR-01142 一致。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成振动异常。
HCASE-01143,HFB-01143,VS1,0.8055,PS1,0.6913,C001,液压泵总成,0.7692,0.5735,结合传感器能量和检测记录，液压泵总成的振动异常与材料阶段高风险实体 HMAT-00293 一致。,材料阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-01144,HFB-01144,PS1,0.8839,PS2,0.5693,C001,液压泵总成,0.8216,0.6523,结合传感器能量和检测记录，液压泵总成的泄漏异常与装配阶段高风险实体 HASM-01144 一致。,装配阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-01145,HFB-01145,PS2,0.8397,EPS1,0.5332,C005,蓄能器,0.7626,0.5859,蓄能器出现轻微压力异常，生命周期风险集中在材料阶段，建议优先追溯 HMAT-00357。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成压力异常。
HCASE-01146,HFB-01146,PS3,0.817,PS5,0.6988,C010,节流阀,0.7381,0.5701,过滤器出现轻微压力异常，生命周期风险集中在运维阶段，建议优先追溯 HOPR-01146。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-01147,HFB-01147,PS2,0.8044,EPS1,0.7493,C004,溢流阀,0.7592,0.6105,溢流阀出现轻微泄漏异常，生命周期风险集中在运维阶段，建议优先追溯 HOPR-01147。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成泄漏异常。
HCASE-01148,HFB-01148,PS6,0.7913,PS2,0.6744,C005,蓄能器,0.7182,0.5551,该案例表现为轻微振动异常，根因更可能由制造阶段隐患累积触发。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成振动异常。
HCASE-01149,HFB-01149,PS3,0.87,PS2,0.5472,C002,方向控制阀,0.7927,0.664,该案例表现为轻微流量异常，根因更可能由运维阶段隐患累积触发。,运维阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-01150,HFB-01150,TS2,0.7562,FS1,0.5546,C006,冷却器,0.723,0.5619,冷却器出现轻微泄漏异常，生命周期风险集中在制造阶段，建议优先追溯 HMAN-00452。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-01151,HFB-01151,PS4,0.7525,PS1,0.5336,C003,作动筒,0.7358,0.6346,作动筒出现轻微振动异常，生命周期风险集中在材料阶段，建议优先追溯 HMAT-00393。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-01152,HFB-01152,PS2,0.8385,PS6,0.8258,C005,蓄能器,0.7608,0.6402,结合传感器能量和检测记录，蓄能器的压力异常与装配阶段高风险实体 HASM-01152 一致。,装配阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-01153,HFB-01153,FS1,0.8238,PS3,0.5189,C007,过滤器,0.7744,0.6169,该案例表现为轻微泄漏异常，根因更可能由制造阶段隐患累积触发。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成泄漏异常。
HCASE-01154,HFB-01154,PS2,0.7484,PS1,0.6829,C011,管路总成,0.7525,0.6041,结合传感器能量和检测记录，管路总成的振动异常与材料阶段高风险实体 HMAT-00210 一致。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成振动异常。
HCASE-01155,HFB-01155,FS1,0.8213,FS1,0.7187,C007,过滤器,0.7583,0.6299,过滤器出现轻微温度异常，生命周期风险集中在制造阶段，建议优先追溯 HMAN-00270。,制造阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-01156,HFB-01156,PS6,0.9567,PS2,0.784,C011,管路总成,0.8556,0.6922,该案例表现为中度压力异常，根因更可能由检测阶段隐患累积触发。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成压力异常。
HCASE-01157,HFB-01157,FS1,0.8232,FS1,0.7203,C007,过滤器,0.7314,0.6166,过滤器出现轻微振动异常，生命周期风险集中在制造阶段，建议优先追溯 HMAN-00061。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-01158,HFB-01158,EPS1,0.7829,PS2,0.7822,C004,溢流阀,0.7782,0.6233,结合传感器能量和检测记录，溢流阀的阀芯卡滞与制造阶段高风险实体 HMAN-00670 一致。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成阀芯卡滞。
HCASE-01159,HFB-01159,PS2,0.8146,PS2,0.7127,C005,蓄能器,0.7444,0.5525,蓄能器出现轻微泄漏异常，生命周期风险集中在制造阶段，建议优先追溯 HMAN-00147。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成泄漏异常。
HCASE-01160,HFB-01160,TS4,0.7848,FS1,0.7386,C007,过滤器,0.7553,0.5911,过滤器出现轻微温度异常，生命周期风险集中在设计阶段，建议优先追溯 HDES-01039。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成温度异常。
HCASE-01161,HFB-01161,FS2,0.7024,VS1,0.601,C008,液压油箱,0.7022,0.5427,该案例表现为轻微振动异常，根因更可能由运维阶段隐患累积触发。,运维阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-01162,HFB-01162,PS2,0.8691,PS6,0.8042,C011,管路总成,0.816,0.6576,结合传感器能量和检测记录，管路总成的泄漏异常与运维阶段高风险实体 HOPR-01162 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为中度故障。
HCASE-01163,HFB-01163,PS2,0.9202,EPS1,0.7326,C004,溢流阀,0.8001,0.6058,蓄能器出现轻微压力异常，生命周期风险集中在装配阶段，建议优先追溯 HASM-01163。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-01164,HFB-01164,FS1,0.6919,PS4,0.6948,C002,方向控制阀,0.7046,0.601,该案例表现为轻微泄漏异常，根因更可能由装配阶段隐患累积触发。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-01165,HFB-01165,FS1,0.8213,FS1,0.7187,C007,过滤器,0.7337,0.5334,过滤器出现轻微温度异常，生命周期风险集中在材料阶段，建议优先追溯 HMAT-00328。,材料阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-01166,HFB-01166,FS1,0.8805,FS1,0.7704,C007,过滤器,0.7802,0.6522,该案例表现为轻微流量异常，根因更可能由制造阶段隐患累积触发。,制造阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-01167,HFB-01167,PS2,0.9296,PS2,0.8134,C004,溢流阀,0.8308,0.6446,该案例表现为中度泄漏异常，根因更可能由运维阶段隐患累积触发。,运维阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-01168,HFB-01168,EPS1,0.7096,PS3,0.5644,C004,溢流阀,0.6942,0.5606,结合传感器能量和检测记录，溢流阀的压力异常与检测阶段高风险实体 HINSP-01168 一致。,检测阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-01169,HFB-01169,PS3,0.8483,PS2,0.5863,C002,方向控制阀,0.7925,0.6159,该案例表现为中度流量异常，根因更可能由制造阶段隐患累积触发。,制造阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-01170,HFB-01170,FS1,0.7741,PS3,0.5133,C007,过滤器,0.7124,0.5767,该案例表现为轻微振动异常，根因更可能由设计阶段隐患累积触发。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成振动异常。
HCASE-01171,HFB-01171,FS1,0.7602,VS1,0.5512,C008,液压油箱,0.7292,0.5587,液压油箱出现轻微压力异常，生命周期风险集中在制造阶段，建议优先追溯 HMAN-00404。,制造阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-01172,HFB-01172,PS5,0.7185,PS3,0.7715,C010,节流阀,0.7507,0.6045,结合传感器能量和检测记录，节流阀的阀芯卡滞与运维阶段高风险实体 HOPR-01172 一致。,运维阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-01173,HFB-01173,PS2,0.8174,PS6,0.6327,C004,溢流阀,0.744,0.5704,结合传感器能量和检测记录，溢流阀的泄漏异常与装配阶段高风险实体 HASM-01173 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-01174,HFB-01174,PS3,0.8479,FS1,0.7373,C002,方向控制阀,0.755,0.5869,该案例表现为轻微流量异常，根因更可能由运维阶段隐患累积触发。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-01175,HFB-01175,PS3,0.7972,PS2,0.8001,C009,单向阀,0.7309,0.5782,该案例表现为轻微泄漏异常，根因更可能由制造阶段隐患累积触发。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成泄漏异常。
HCASE-01176,HFB-01176,PS6,0.8988,PS6,0.7864,C011,管路总成,0.8352,0.6263,该案例表现为中度流量异常，根因更可能由制造阶段隐患累积触发。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成流量异常。
HCASE-01177,HFB-01177,TS1,0.6628,TS3,0.5694,C001,液压泵总成,0.6906,0.5735,液压泵总成出现轻微流量异常，生命周期风险集中在材料阶段，建议优先追溯 HMAT-00049。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成流量异常。
HCASE-01178,HFB-01178,PS3,0.8266,PS3,0.7233,C009,单向阀,0.7861,0.6236,结合传感器能量和检测记录，单向阀的温度异常与运维阶段高风险实体 HOPR-01178 一致。,运维阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-01179,HFB-01179,FS2,0.8115,FS2,0.7101,C008,液压油箱,0.7671,0.586,液压泵总成出现轻微泄漏异常，生命周期风险集中在运维阶段，建议优先追溯 HOPR-01179。,运维阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-01180,HFB-01180,FS1,0.8534,PS3,0.792,C009,单向阀,0.8011,0.6357,该案例表现为中度阀芯卡滞，根因更可能由装配阶段隐患累积触发。,装配阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-01181,HFB-01181,FS1,0.9188,PS2,0.5885,C010,节流阀,0.85,0.6673,结合传感器能量和检测记录，节流阀的流量异常与设计阶段高风险实体 HDES-01092 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为中度故障。
HCASE-01182,HFB-01182,PS3,0.7839,FS1,0.7631,C010,节流阀,0.7603,0.6431,节流阀出现中度阀芯卡滞，生命周期风险集中在制造阶段，建议优先追溯 HMAN-00864。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为中度故障。
HCASE-01183,HFB-01183,TS3,0.7821,FS1,0.5364,C006,冷却器,0.7534,0.6426,结合传感器能量和检测记录，冷却器的温度异常与检测阶段高风险实体 HINSP-01183 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-01184,HFB-01184,PS3,0.7845,FS2,0.5811,C002,方向控制阀,0.7962,0.6009,该案例表现为中度流量异常，根因更可能由设计阶段隐患累积触发。,设计阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-01185,HFB-01185,PS3,0.8165,PS4,0.5179,C009,单向阀,0.7246,0.5603,结合传感器能量和检测记录，单向阀的压力异常与设计阶段高风险实体 HDES-01122 一致。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成压力异常。
HCASE-01186,HFB-01186,FS1,0.9116,FS1,0.7976,C008,液压油箱,0.8324,0.6307,该案例表现为中度流量异常，根因更可能由检测阶段隐患累积触发。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成流量异常。
HCASE-01187,HFB-01187,PS2,0.7904,EPS1,0.75,C004,溢流阀,0.7667,0.6216,溢流阀出现中度阀芯卡滞，生命周期风险集中在设计阶段，建议优先追溯 HDES-00058。,设计阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-01188,HFB-01188,PS2,0.819,PS1,0.5408,C004,溢流阀,0.7697,0.628,溢流阀出现轻微温度异常，生命周期风险集中在检测阶段，建议优先追溯 HINSP-01188。,检测阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-01189,HFB-01189,FS1,0.8164,PS3,0.7205,C010,节流阀,0.7666,0.6137,该案例表现为轻微振动异常，根因更可能由运维阶段隐患累积触发。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-01190,HFB-01190,PS1,0.8304,TS1,0.5379,C011,管路总成,0.8036,0.6363,该案例表现为中度振动异常，根因更可能由设计阶段隐患累积触发。,设计阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-01191,HFB-01191,PS3,0.8922,FS1,0.6897,C009,单向阀,0.7876,0.6034,该案例表现为轻微压力异常，根因更可能由制造阶段隐患累积触发。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成压力异常。
HCASE-01192,HFB-01192,PS3,0.9085,PS3,0.7949,C009,单向阀,0.8078,0.6429,单向阀出现轻微阀芯卡滞，生命周期风险集中在检测阶段，建议优先追溯 HINSP-01192。,检测阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-01193,HFB-01193,PS2,0.7737,PS4,0.489,C009,单向阀,0.742,0.6314,单向阀出现轻微阀芯卡滞，生命周期风险集中在设计阶段，建议优先追溯 HDES-00491。,设计阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-01194,HFB-01194,TS4,0.9435,FS1,0.765,C007,过滤器,0.8425,0.6602,该案例表现为中度温度异常，根因更可能由制造阶段隐患累积触发。,制造阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-01195,HFB-01195,PS4,0.7893,PS3,0.8315,C002,方向控制阀,0.7958,0.6569,该案例表现为中度振动异常，根因更可能由制造阶段隐患累积触发。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成振动异常。
HCASE-01196,HFB-01196,TS1,0.8135,EPS1,0.5183,C001,液压泵总成,0.7747,0.5903,该案例表现为中度温度异常，根因更可能由装配阶段隐患累积触发。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成温度异常。
HCASE-01197,HFB-01197,PS4,0.7002,PS4,0.6127,C002,方向控制阀,0.6678,0.5704,该案例表现为轻微温度异常，根因更可能由制造阶段隐患累积触发。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-01198,HFB-01198,PS5,0.7445,PS3,0.5544,C003,作动筒,0.7473,0.6336,作动筒出现中度泄漏异常，生命周期风险集中在装配阶段，建议优先追溯 HASM-01198。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成泄漏异常。
HCASE-01199,HFB-01199,VS1,0.8773,PS2,0.573,C001,液压泵总成,0.7985,0.5973,结合传感器能量和检测记录，液压泵总成的泄漏异常与装配阶段高风险实体 HASM-01199 一致。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成泄漏异常。
HCASE-01200,HFB-01200,TS1,0.8404,VS1,0.84,C001,液压泵总成,0.831,0.6304,该案例表现为中度振动异常，根因更可能由材料阶段隐患累积触发。,材料阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-01201,HFB-01201,PS3,0.7675,FS1,0.7055,C010,节流阀,0.6962,0.5659,该案例表现为轻微泄漏异常，根因更可能由装配阶段隐患累积触发。,装配阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-01202,HFB-01202,PS3,0.8725,PS3,0.7634,C009,单向阀,0.7963,0.6258,结合传感器能量和检测记录，单向阀的阀芯卡滞与制造阶段高风险实体 HMAN-00928 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-01203,HFB-01203,TS3,0.846,TS4,0.5913,C006,冷却器,0.8038,0.6675,冷却器出现中度温度异常，生命周期风险集中在运维阶段，建议优先追溯 HOPR-01203。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成温度异常。
HCASE-01204,HFB-01204,PS6,0.7889,EPS1,0.5159,C005,蓄能器,0.7262,0.5852,该案例表现为轻微振动异常，根因更可能由运维阶段隐患累积触发。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-01205,HFB-01205,PS5,0.7396,FS1,0.5388,C003,作动筒,0.7566,0.6427,该案例表现为中度泄漏异常，根因更可能由装配阶段隐患累积触发。,装配阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-01206,HFB-01206,FS1,0.7874,FS1,0.6889,C002,方向控制阀,0.7157,0.5808,该案例表现为轻微压力异常，根因更可能由设计阶段隐患累积触发。,设计阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-01207,HFB-01207,PS3,0.8752,PS2,0.5646,C002,方向控制阀,0.782,0.6039,方向控制阀出现轻微阀芯卡滞，生命周期风险集中在运维阶段，建议优先追溯 HOPR-01207。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-01208,HFB-01208,FS1,0.8038,FS1,0.7033,C007,过滤器,0.7089,0.5771,该案例表现为轻微阀芯卡滞，根因更可能由运维阶段隐患累积触发。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成阀芯卡滞。
HCASE-01209,HFB-01209,PS2,0.7604,PS5,0.5412,C009,单向阀,0.7631,0.564,单向阀出现中度阀芯卡滞，生命周期风险集中在材料阶段，建议优先追溯 HMAT-00116。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成阀芯卡滞。
HCASE-01210,HFB-01210,TS3,0.8158,FS1,0.7015,C008,液压油箱,0.7432,0.5645,结合传感器能量和检测记录，过滤器的振动异常与制造阶段高风险实体 HMAN-00527 一致。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成振动异常。
HCASE-01211,HFB-01211,PS5,0.7635,FS1,0.7562,C010,节流阀,0.7597,0.6435,该案例表现为中度阀芯卡滞，根因更可能由运维阶段隐患累积触发。,隐患先导致局部性能退化，随后传感器能量向关联通道集中，最终形成阀芯卡滞。
HCASE-01212,HFB-01212,EPS1,0.6841,PS6,0.5829,C004,溢流阀,0.6953,0.5483,溢流阀出现轻微振动异常，生命周期风险集中在运维阶段，建议优先追溯 HOPR-01212。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-01213,HFB-01213,TS1,0.8168,PS1,0.7192,C012,卸荷阀,0.7658,0.5622,该案例表现为轻微泄漏异常，根因更可能由制造阶段隐患累积触发。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
HCASE-01214,HFB-01214,PS2,0.8668,PS2,0.7585,C009,单向阀,0.7741,0.6284,该案例表现为轻微阀芯卡滞，根因更可能由材料阶段隐患累积触发。,材料阶段风险与运行工况耦合后引起状态劣化，检测指标随严重度同步升高。
HCASE-01215,HFB-01215,TS1,0.6898,FS1,0.5717,C001,液压泵总成,0.719,0.5606,结合传感器能量和检测记录，液压泵总成的泄漏异常与运维阶段高风险实体 HOPR-01215 一致。,早期异常较弱，运行载荷放大后出现指标漂移，并逐步演化为轻微故障。
