item_id,item_no,item_desc,item_grp_cd,mat_grade,spec_model,uom_cd,buy_made_flag
179,MAT-LG-0179,Displacement Sensor Bracket,ERP_ASSEMBLY,ERP_C,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,ERP_KG,Y
180,MAT-LG-0180,Locking Nut,ERP_SERVICE,ERP_D,Locking Nut aviation manufacturing business record used for actuator quality traceability.,ERP_M,N
181,MAT-LG-0181,Piston Rod Assembly,ERP_MAKE,ERP_A,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_EA,Y
182,MAT-LG-0182,Cylinder Barrel Assembly,ERP_BUY,ERP_B,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_SET,Y
183,MAT-LG-0183,Front End Cap,ERP_ASSEMBLY,ERP_C,Front End Cap aviation manufacturing business record used for actuator quality traceability.,ERP_KG,N
184,MAT-LG-0184,Rear End Cap,ERP_SERVICE,ERP_D,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,ERP_M,Y
185,MAT-LG-0185,Seal Ring Assembly,ERP_MAKE,ERP_A,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_EA,Y
186,MAT-LG-0186,Trunnion Bushing,ERP_BUY,ERP_B,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,ERP_SET,N
187,MAT-LG-0187,Spherical Bearing,ERP_ASSEMBLY,ERP_C,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,ERP_KG,Y
188,MAT-LG-0188,Throttle Connector,ERP_SERVICE,ERP_D,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,ERP_M,Y
189,MAT-LG-0189,Displacement Sensor Bracket,ERP_MAKE,ERP_A,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,ERP_EA,N
190,MAT-LG-0190,Locking Nut,ERP_BUY,ERP_B,Locking Nut aviation manufacturing business record used for actuator quality traceability.,ERP_SET,Y
191,MAT-LG-0191,Piston Rod Assembly,ERP_ASSEMBLY,ERP_C,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_KG,Y
192,MAT-LG-0192,Cylinder Barrel Assembly,ERP_SERVICE,ERP_D,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_M,N
193,MAT-LG-0193,Front End Cap,ERP_MAKE,ERP_A,Front End Cap aviation manufacturing business record used for actuator quality traceability.,ERP_EA,Y
194,MAT-LG-0194,Rear End Cap,ERP_BUY,ERP_B,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,ERP_SET,Y
195,MAT-LG-0195,Seal Ring Assembly,ERP_ASSEMBLY,ERP_C,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,ERP_KG,N
196,MAT-LG-0196,Trunnion Bushing,ERP_SERVICE,ERP_D,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,ERP_M,Y
197,MAT-LG-0197,Spherical Bearing,ERP_MAKE,ERP_A,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,ERP_EA,Y
198,MAT-LG-0198,Throttle Connector,ERP_BUY,ERP_B,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,ERP_SET,N
199,MAT-LG-0199,Displacement Sensor Bracket,ERP_ASSEMBLY,ERP_C,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,ERP_KG,Y
200,MAT-LG-0200,Locking Nut,ERP_SERVICE,ERP_D,Locking Nut aviation manufacturing business record used for actuator quality traceability.,ERP_M,Y
