task_id,workid,taskcode,worktype,workname,partno,route_no,zzh,planqty,yxj,urgent_tab,plandate,delivery_date_char,reportman,reportdate,rwstate
91,WO-LG-2026-0091,TASK-LG-0091,MES_ASSEMBLY,Inner Bore Honing,LGACT-PART-012,RT-LGACT-0091,LGACT-2026-0091,002,002,Y,2026/05/15 18:37:00,20260515,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,2026/05/15 18:37:00,MES_CLOSED
92,WO-LG-2026-0092,TASK-LG-0092,MES_SERVICE,Chrome Plating Layer Grinding,LGACT-PART-013,RT-LGACT-0092,LGACT-2026-0092,003,003,Y,2026/05/16 18:44:00,20260516,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceabili,2026/05/16 18:44:00,MES_HOLD
93,WO-LG-2026-0093,TASK-LG-0093,MES_MAKE,Seal Component Assembly,LGACT-PART-014,RT-LGACT-0093,LGACT-2026-0093,004,004,N,2026/05/17 18:51:00,20260517,Front End Cap aviation manufacturing business record used for actuator quality traceability.,2026/05/17 18:51:00,MES_OPEN
94,WO-LG-2026-0094,TASK-LG-0094,MES_BUY,Actuator Final Assembly,LGACT-PART-015,RT-LGACT-0094,LGACT-2026-0094,005,005,Y,2026/05/18 18:58:00,20260518,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,2026/05/18 18:58:00,MES_RUNNING
95,WO-LG-2026-0095,TASK-LG-0095,MES_ASSEMBLY,Pressure Holding Test,LGACT-PART-016,RT-LGACT-0095,LGACT-2026-0095,006,006,Y,2026/05/19 19:05:00,20260519,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,2026/05/19 19:05:00,MES_CLOSED
96,WO-LG-2026-0096,TASK-LG-0096,MES_SERVICE,Extension and Retraction Function Test,LGACT-PART-017,RT-LGACT-0096,LGACT-2026-0096,007,007,N,2026/05/20 19:12:00,20260520,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,2026/05/20 19:12:00,MES_HOLD
97,WO-LG-2026-0097,TASK-LG-0097,MES_MAKE,Cylinder Barrel Rough Machining,LGACT-PART-018,RT-LGACT-0097,LGACT-2026-0097,008,008,Y,2026/05/21 19:19:00,20260521,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,2026/05/21 19:19:00,MES_OPEN
98,WO-LG-2026-0098,TASK-LG-0098,MES_BUY,Piston Rod Precision Grinding,LGACT-PART-019,RT-LGACT-0098,LGACT-2026-0098,009,009,Y,2026/05/22 19:26:00,20260522,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,2026/05/22 19:26:00,MES_RUNNING
99,WO-LG-2026-0099,TASK-LG-0099,MES_ASSEMBLY,Inner Bore Honing,LGACT-PART-020,RT-LGACT-0099,LGACT-2026-0099,001,001,N,2026/05/23 19:33:00,20260523,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceab,2026/05/23 19:33:00,MES_CLOSED
100,WO-LG-2026-0100,TASK-LG-0100,MES_SERVICE,Chrome Plating Layer Grinding,LGACT-PART-001,RT-LGACT-0100,LGACT-2026-0100,002,002,Y,2026/05/24 19:40:00,20260524,Locking Nut aviation manufacturing business record used for actuator quality traceability.,2026/05/24 19:40:00,MES_HOLD
101,WO-LG-2026-0101,TASK-LG-0101,MES_MAKE,Seal Component Assembly,LGACT-PART-002,RT-LGACT-0101,LGACT-2026-0101,003,003,Y,2026/05/25 19:47:00,20260525,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,2026/05/25 19:47:00,MES_OPEN
102,WO-LG-2026-0102,TASK-LG-0102,MES_BUY,Actuator Final Assembly,LGACT-PART-003,RT-LGACT-0102,LGACT-2026-0102,004,004,N,2026/05/26 19:54:00,20260526,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceabili,2026/05/26 19:54:00,MES_RUNNING
103,WO-LG-2026-0103,TASK-LG-0103,MES_ASSEMBLY,Pressure Holding Test,LGACT-PART-004,RT-LGACT-0103,LGACT-2026-0103,005,005,Y,2026/05/27 20:01:00,20260527,Front End Cap aviation manufacturing business record used for actuator quality traceability.,2026/05/27 20:01:00,MES_CLOSED
104,WO-LG-2026-0104,TASK-LG-0104,MES_SERVICE,Extension and Retraction Function Test,LGACT-PART-005,RT-LGACT-0104,LGACT-2026-0104,006,006,Y,2026/05/28 20:08:00,20260528,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,2026/05/28 20:08:00,MES_HOLD
105,WO-LG-2026-0105,TASK-LG-0105,MES_MAKE,Cylinder Barrel Rough Machining,LGACT-PART-006,RT-LGACT-0105,LGACT-2026-0105,007,007,N,2026/05/29 20:15:00,20260529,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,2026/05/29 20:15:00,MES_OPEN
106,WO-LG-2026-0106,TASK-LG-0106,MES_BUY,Piston Rod Precision Grinding,LGACT-PART-007,RT-LGACT-0106,LGACT-2026-0106,008,008,Y,2026/05/30 20:22:00,20260530,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,2026/05/30 20:22:00,MES_RUNNING
107,WO-LG-2026-0107,TASK-LG-0107,MES_ASSEMBLY,Inner Bore Honing,LGACT-PART-008,RT-LGACT-0107,LGACT-2026-0107,009,009,Y,2026/05/31 20:29:00,20260531,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,2026/05/31 20:29:00,MES_CLOSED
108,WO-LG-2026-0108,TASK-LG-0108,MES_SERVICE,Chrome Plating Layer Grinding,LGACT-PART-009,RT-LGACT-0108,LGACT-2026-0108,001,001,N,2026/06/01 20:36:00,20260601,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,2026/06/01 20:36:00,MES_HOLD
109,WO-LG-2026-0109,TASK-LG-0109,MES_MAKE,Seal Component Assembly,LGACT-PART-010,RT-LGACT-0109,LGACT-2026-0109,002,002,Y,2026/06/02 20:43:00,20260602,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceab,2026/06/02 20:43:00,MES_OPEN
110,WO-LG-2026-0110,TASK-LG-0110,MES_BUY,Actuator Final Assembly,LGACT-PART-011,RT-LGACT-0110,LGACT-2026-0110,003,003,Y,2026/06/03 20:50:00,20260603,Locking Nut aviation manufacturing business record used for actuator quality traceability.,2026/06/03 20:50:00,MES_RUNNING
111,WO-LG-2026-0111,TASK-LG-0111,MES_ASSEMBLY,Pressure Holding Test,LGACT-PART-012,RT-LGACT-0111,LGACT-2026-0111,004,004,N,2026/06/04 20:57:00,20260604,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,2026/06/04 20:57:00,MES_CLOSED
112,WO-LG-2026-0112,TASK-LG-0112,MES_SERVICE,Extension and Retraction Function Test,LGACT-PART-013,RT-LGACT-0112,LGACT-2026-0112,005,005,Y,2026/06/05 21:04:00,20260605,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceabili,2026/06/05 21:04:00,MES_HOLD
113,WO-LG-2026-0113,TASK-LG-0113,MES_MAKE,Cylinder Barrel Rough Machining,LGACT-PART-014,RT-LGACT-0113,LGACT-2026-0113,006,006,Y,2026/05/09 21:11:00,20260509,Front End Cap aviation manufacturing business record used for actuator quality traceability.,2026/05/09 21:11:00,MES_OPEN
114,WO-LG-2026-0114,TASK-LG-0114,MES_BUY,Piston Rod Precision Grinding,LGACT-PART-015,RT-LGACT-0114,LGACT-2026-0114,007,007,N,2026/05/10 21:18:00,20260510,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,2026/05/10 21:18:00,MES_RUNNING
115,WO-LG-2026-0115,TASK-LG-0115,MES_ASSEMBLY,Inner Bore Honing,LGACT-PART-016,RT-LGACT-0115,LGACT-2026-0115,008,008,Y,2026/05/11 21:25:00,20260511,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,2026/05/11 21:25:00,MES_CLOSED
116,WO-LG-2026-0116,TASK-LG-0116,MES_SERVICE,Chrome Plating Layer Grinding,LGACT-PART-017,RT-LGACT-0116,LGACT-2026-0116,009,009,Y,2026/05/12 21:32:00,20260512,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,2026/05/12 21:32:00,MES_HOLD
117,WO-LG-2026-0117,TASK-LG-0117,MES_MAKE,Seal Component Assembly,LGACT-PART-018,RT-LGACT-0117,LGACT-2026-0117,001,001,N,2026/05/13 21:39:00,20260513,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,2026/05/13 21:39:00,MES_OPEN
118,WO-LG-2026-0118,TASK-LG-0118,MES_BUY,Actuator Final Assembly,LGACT-PART-019,RT-LGACT-0118,LGACT-2026-0118,002,002,Y,2026/05/14 21:46:00,20260514,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,2026/05/14 21:46:00,MES_RUNNING
119,WO-LG-2026-0119,TASK-LG-0119,MES_ASSEMBLY,Pressure Holding Test,LGACT-PART-020,RT-LGACT-0119,LGACT-2026-0119,003,003,Y,2026/05/15 21:53:00,20260515,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceab,2026/05/15 21:53:00,MES_CLOSED
120,WO-LG-2026-0120,TASK-LG-0120,MES_SERVICE,Extension and Retraction Function Test,LGACT-PART-001,RT-LGACT-0120,LGACT-2026-0120,004,004,N,2026/05/16 22:00:00,20260516,Locking Nut aviation manufacturing business record used for actuator quality traceability.,2026/05/16 22:00:00,MES_HOLD
121,WO-LG-2026-0121,TASK-LG-0121,MES_MAKE,Cylinder Barrel Rough Machining,LGACT-PART-002,RT-LGACT-0121,LGACT-2026-0121,005,005,Y,2026/05/17 22:07:00,20260517,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,2026/05/17 22:07:00,MES_OPEN
122,WO-LG-2026-0122,TASK-LG-0122,MES_BUY,Piston Rod Precision Grinding,LGACT-PART-003,RT-LGACT-0122,LGACT-2026-0122,006,006,Y,2026/05/18 22:14:00,20260518,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceabili,2026/05/18 22:14:00,MES_RUNNING
123,WO-LG-2026-0123,TASK-LG-0123,MES_ASSEMBLY,Inner Bore Honing,LGACT-PART-004,RT-LGACT-0123,LGACT-2026-0123,007,007,N,2026/05/19 22:21:00,20260519,Front End Cap aviation manufacturing business record used for actuator quality traceability.,2026/05/19 22:21:00,MES_CLOSED
124,WO-LG-2026-0124,TASK-LG-0124,MES_SERVICE,Chrome Plating Layer Grinding,LGACT-PART-005,RT-LGACT-0124,LGACT-2026-0124,008,008,Y,2026/05/20 22:28:00,20260520,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,2026/05/20 22:28:00,MES_HOLD
125,WO-LG-2026-0125,TASK-LG-0125,MES_MAKE,Seal Component Assembly,LGACT-PART-006,RT-LGACT-0125,LGACT-2026-0125,009,009,Y,2026/05/21 22:35:00,20260521,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,2026/05/21 22:35:00,MES_OPEN
126,WO-LG-2026-0126,TASK-LG-0126,MES_BUY,Actuator Final Assembly,LGACT-PART-007,RT-LGACT-0126,LGACT-2026-0126,001,001,N,2026/05/22 22:42:00,20260522,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,2026/05/22 22:42:00,MES_RUNNING
127,WO-LG-2026-0127,TASK-LG-0127,MES_ASSEMBLY,Pressure Holding Test,LGACT-PART-008,RT-LGACT-0127,LGACT-2026-0127,002,002,Y,2026/05/23 22:49:00,20260523,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,2026/05/23 22:49:00,MES_CLOSED
128,WO-LG-2026-0128,TASK-LG-0128,MES_SERVICE,Extension and Retraction Function Test,LGACT-PART-009,RT-LGACT-0128,LGACT-2026-0128,003,003,Y,2026/05/24 22:56:00,20260524,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,2026/05/24 22:56:00,MES_HOLD
129,WO-LG-2026-0129,TASK-LG-0129,MES_MAKE,Cylinder Barrel Rough Machining,LGACT-PART-010,RT-LGACT-0129,LGACT-2026-0129,004,004,N,2026/05/25 23:03:00,20260525,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceab,2026/05/25 23:03:00,MES_OPEN
130,WO-LG-2026-0130,TASK-LG-0130,MES_BUY,Piston Rod Precision Grinding,LGACT-PART-011,RT-LGACT-0130,LGACT-2026-0130,005,005,Y,2026/05/26 23:10:00,20260526,Locking Nut aviation manufacturing business record used for actuator quality traceability.,2026/05/26 23:10:00,MES_RUNNING
131,WO-LG-2026-0131,TASK-LG-0131,MES_ASSEMBLY,Inner Bore Honing,LGACT-PART-012,RT-LGACT-0131,LGACT-2026-0131,006,006,Y,2026/05/27 23:17:00,20260527,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,2026/05/27 23:17:00,MES_CLOSED
132,WO-LG-2026-0132,TASK-LG-0132,MES_SERVICE,Chrome Plating Layer Grinding,LGACT-PART-013,RT-LGACT-0132,LGACT-2026-0132,007,007,N,2026/05/28 23:24:00,20260528,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceabili,2026/05/28 23:24:00,MES_HOLD
133,WO-LG-2026-0133,TASK-LG-0133,MES_MAKE,Seal Component Assembly,LGACT-PART-014,RT-LGACT-0133,LGACT-2026-0133,008,008,Y,2026/05/29 23:31:00,20260529,Front End Cap aviation manufacturing business record used for actuator quality traceability.,2026/05/29 23:31:00,MES_OPEN
134,WO-LG-2026-0134,TASK-LG-0134,MES_BUY,Actuator Final Assembly,LGACT-PART-015,RT-LGACT-0134,LGACT-2026-0134,009,009,Y,2026/05/30 23:38:00,20260530,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,2026/05/30 23:38:00,MES_RUNNING
135,WO-LG-2026-0135,TASK-LG-0135,MES_ASSEMBLY,Pressure Holding Test,LGACT-PART-016,RT-LGACT-0135,LGACT-2026-0135,001,001,N,2026/05/31 23:45:00,20260531,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,2026/05/31 23:45:00,MES_CLOSED
136,WO-LG-2026-0136,TASK-LG-0136,MES_SERVICE,Extension and Retraction Function Test,LGACT-PART-017,RT-LGACT-0136,LGACT-2026-0136,002,002,Y,2026/06/01 23:52:00,20260601,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,2026/06/01 23:52:00,MES_HOLD
137,WO-LG-2026-0137,TASK-LG-0137,MES_MAKE,Cylinder Barrel Rough Machining,LGACT-PART-018,RT-LGACT-0137,LGACT-2026-0137,003,003,Y,2026/06/02 23:59:00,20260602,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,2026/06/02 23:59:00,MES_OPEN
138,WO-LG-2026-0138,TASK-LG-0138,MES_BUY,Piston Rod Precision Grinding,LGACT-PART-019,RT-LGACT-0138,LGACT-2026-0138,004,004,N,2026/06/04 00:06:00,20260604,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,2026/06/04 00:06:00,MES_RUNNING
139,WO-LG-2026-0139,TASK-LG-0139,MES_ASSEMBLY,Inner Bore Honing,LGACT-PART-020,RT-LGACT-0139,LGACT-2026-0139,005,005,Y,2026/06/05 00:13:00,20260605,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceab,2026/06/05 00:13:00,MES_CLOSED
140,WO-LG-2026-0140,TASK-LG-0140,MES_SERVICE,Chrome Plating Layer Grinding,LGACT-PART-001,RT-LGACT-0140,LGACT-2026-0140,006,006,Y,2026/06/06 00:20:00,20260606,Locking Nut aviation manufacturing business record used for actuator quality traceability.,2026/06/06 00:20:00,MES_HOLD
141,WO-LG-2026-0141,TASK-LG-0141,MES_MAKE,Seal Component Assembly,LGACT-PART-002,RT-LGACT-0141,LGACT-2026-0141,007,007,N,2026/05/10 00:27:00,20260510,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,2026/05/10 00:27:00,MES_OPEN
142,WO-LG-2026-0142,TASK-LG-0142,MES_BUY,Actuator Final Assembly,LGACT-PART-003,RT-LGACT-0142,LGACT-2026-0142,008,008,Y,2026/05/11 00:34:00,20260511,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceabili,2026/05/11 00:34:00,MES_RUNNING
143,WO-LG-2026-0143,TASK-LG-0143,MES_ASSEMBLY,Pressure Holding Test,LGACT-PART-004,RT-LGACT-0143,LGACT-2026-0143,009,009,Y,2026/05/12 00:41:00,20260512,Front End Cap aviation manufacturing business record used for actuator quality traceability.,2026/05/12 00:41:00,MES_CLOSED
144,WO-LG-2026-0144,TASK-LG-0144,MES_SERVICE,Extension and Retraction Function Test,LGACT-PART-005,RT-LGACT-0144,LGACT-2026-0144,001,001,N,2026/05/13 00:48:00,20260513,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,2026/05/13 00:48:00,MES_HOLD
145,WO-LG-2026-0145,TASK-LG-0145,MES_MAKE,Cylinder Barrel Rough Machining,LGACT-PART-006,RT-LGACT-0145,LGACT-2026-0145,002,002,Y,2026/05/14 00:55:00,20260514,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,2026/05/14 00:55:00,MES_OPEN
146,WO-LG-2026-0146,TASK-LG-0146,MES_BUY,Piston Rod Precision Grinding,LGACT-PART-007,RT-LGACT-0146,LGACT-2026-0146,003,003,Y,2026/05/15 01:02:00,20260515,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,2026/05/15 01:02:00,MES_RUNNING
147,WO-LG-2026-0147,TASK-LG-0147,MES_ASSEMBLY,Inner Bore Honing,LGACT-PART-008,RT-LGACT-0147,LGACT-2026-0147,004,004,N,2026/05/16 01:09:00,20260516,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,2026/05/16 01:09:00,MES_CLOSED
148,WO-LG-2026-0148,TASK-LG-0148,MES_SERVICE,Chrome Plating Layer Grinding,LGACT-PART-009,RT-LGACT-0148,LGACT-2026-0148,005,005,Y,2026/05/17 01:16:00,20260517,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,2026/05/17 01:16:00,MES_HOLD
149,WO-LG-2026-0149,TASK-LG-0149,MES_MAKE,Seal Component Assembly,LGACT-PART-010,RT-LGACT-0149,LGACT-2026-0149,006,006,Y,2026/05/18 01:23:00,20260518,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceab,2026/05/18 01:23:00,MES_OPEN
150,WO-LG-2026-0150,TASK-LG-0150,MES_BUY,Actuator Final Assembly,LGACT-PART-011,RT-LGACT-0150,LGACT-2026-0150,007,007,N,2026/05/19 01:30:00,20260519,Locking Nut aviation manufacturing business record used for actuator quality traceability.,2026/05/19 01:30:00,MES_RUNNING
151,WO-LG-2026-0151,TASK-LG-0151,MES_ASSEMBLY,Pressure Holding Test,LGACT-PART-012,RT-LGACT-0151,LGACT-2026-0151,008,008,Y,2026/05/20 01:37:00,20260520,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,2026/05/20 01:37:00,MES_CLOSED
152,WO-LG-2026-0152,TASK-LG-0152,MES_SERVICE,Extension and Retraction Function Test,LGACT-PART-013,RT-LGACT-0152,LGACT-2026-0152,009,009,Y,2026/05/21 01:44:00,20260521,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceabili,2026/05/21 01:44:00,MES_HOLD
153,WO-LG-2026-0153,TASK-LG-0153,MES_MAKE,Cylinder Barrel Rough Machining,LGACT-PART-014,RT-LGACT-0153,LGACT-2026-0153,001,001,N,2026/05/22 01:51:00,20260522,Front End Cap aviation manufacturing business record used for actuator quality traceability.,2026/05/22 01:51:00,MES_OPEN
154,WO-LG-2026-0154,TASK-LG-0154,MES_BUY,Piston Rod Precision Grinding,LGACT-PART-015,RT-LGACT-0154,LGACT-2026-0154,002,002,Y,2026/05/23 01:58:00,20260523,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,2026/05/23 01:58:00,MES_RUNNING
155,WO-LG-2026-0155,TASK-LG-0155,MES_ASSEMBLY,Inner Bore Honing,LGACT-PART-016,RT-LGACT-0155,LGACT-2026-0155,003,003,Y,2026/05/24 02:05:00,20260524,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,2026/05/24 02:05:00,MES_CLOSED
156,WO-LG-2026-0156,TASK-LG-0156,MES_SERVICE,Chrome Plating Layer Grinding,LGACT-PART-017,RT-LGACT-0156,LGACT-2026-0156,004,004,N,2026/05/25 02:12:00,20260525,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,2026/05/25 02:12:00,MES_HOLD
157,WO-LG-2026-0157,TASK-LG-0157,MES_MAKE,Seal Component Assembly,LGACT-PART-018,RT-LGACT-0157,LGACT-2026-0157,005,005,Y,2026/05/26 02:19:00,20260526,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,2026/05/26 02:19:00,MES_OPEN
158,WO-LG-2026-0158,TASK-LG-0158,MES_BUY,Actuator Final Assembly,LGACT-PART-019,RT-LGACT-0158,LGACT-2026-0158,006,006,Y,2026/05/27 02:26:00,20260527,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,2026/05/27 02:26:00,MES_RUNNING
159,WO-LG-2026-0159,TASK-LG-0159,MES_ASSEMBLY,Pressure Holding Test,LGACT-PART-020,RT-LGACT-0159,LGACT-2026-0159,007,007,N,2026/05/28 02:33:00,20260528,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceab,2026/05/28 02:33:00,MES_CLOSED
160,WO-LG-2026-0160,TASK-LG-0160,MES_SERVICE,Extension and Retraction Function Test,LGACT-PART-001,RT-LGACT-0160,LGACT-2026-0160,008,008,Y,2026/05/29 02:40:00,20260529,Locking Nut aviation manufacturing business record used for actuator quality traceability.,2026/05/29 02:40:00,MES_HOLD
161,WO-LG-2026-0161,TASK-LG-0161,MES_MAKE,Cylinder Barrel Rough Machining,LGACT-PART-002,RT-LGACT-0161,LGACT-2026-0161,009,009,Y,2026/05/30 02:47:00,20260530,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,2026/05/30 02:47:00,MES_OPEN
162,WO-LG-2026-0162,TASK-LG-0162,MES_BUY,Piston Rod Precision Grinding,LGACT-PART-003,RT-LGACT-0162,LGACT-2026-0162,001,001,N,2026/05/31 02:54:00,20260531,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceabili,2026/05/31 02:54:00,MES_RUNNING
163,WO-LG-2026-0163,TASK-LG-0163,MES_ASSEMBLY,Inner Bore Honing,LGACT-PART-004,RT-LGACT-0163,LGACT-2026-0163,002,002,Y,2026/06/01 03:01:00,20260601,Front End Cap aviation manufacturing business record used for actuator quality traceability.,2026/06/01 03:01:00,MES_CLOSED
164,WO-LG-2026-0164,TASK-LG-0164,MES_SERVICE,Chrome Plating Layer Grinding,LGACT-PART-005,RT-LGACT-0164,LGACT-2026-0164,003,003,Y,2026/06/02 03:08:00,20260602,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,2026/06/02 03:08:00,MES_HOLD
165,WO-LG-2026-0165,TASK-LG-0165,MES_MAKE,Seal Component Assembly,LGACT-PART-006,RT-LGACT-0165,LGACT-2026-0165,004,004,N,2026/06/03 03:15:00,20260603,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,2026/06/03 03:15:00,MES_OPEN
166,WO-LG-2026-0166,TASK-LG-0166,MES_BUY,Actuator Final Assembly,LGACT-PART-007,RT-LGACT-0166,LGACT-2026-0166,005,005,Y,2026/06/04 03:22:00,20260604,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,2026/06/04 03:22:00,MES_RUNNING
167,WO-LG-2026-0167,TASK-LG-0167,MES_ASSEMBLY,Pressure Holding Test,LGACT-PART-008,RT-LGACT-0167,LGACT-2026-0167,006,006,Y,2026/06/05 03:29:00,20260605,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,2026/06/05 03:29:00,MES_CLOSED
168,WO-LG-2026-0168,TASK-LG-0168,MES_SERVICE,Extension and Retraction Function Test,LGACT-PART-009,RT-LGACT-0168,LGACT-2026-0168,007,007,N,2026/06/06 03:36:00,20260606,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,2026/06/06 03:36:00,MES_HOLD
169,WO-LG-2026-0169,TASK-LG-0169,MES_MAKE,Cylinder Barrel Rough Machining,LGACT-PART-010,RT-LGACT-0169,LGACT-2026-0169,008,008,Y,2026/05/10 03:43:00,20260510,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceab,2026/05/10 03:43:00,MES_OPEN
170,WO-LG-2026-0170,TASK-LG-0170,MES_BUY,Piston Rod Precision Grinding,LGACT-PART-011,RT-LGACT-0170,LGACT-2026-0170,009,009,Y,2026/05/11 03:50:00,20260511,Locking Nut aviation manufacturing business record used for actuator quality traceability.,2026/05/11 03:50:00,MES_RUNNING
171,WO-LG-2026-0171,TASK-LG-0171,MES_ASSEMBLY,Inner Bore Honing,LGACT-PART-012,RT-LGACT-0171,LGACT-2026-0171,001,001,N,2026/05/12 03:57:00,20260512,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,2026/05/12 03:57:00,MES_CLOSED
172,WO-LG-2026-0172,TASK-LG-0172,MES_SERVICE,Chrome Plating Layer Grinding,LGACT-PART-013,RT-LGACT-0172,LGACT-2026-0172,002,002,Y,2026/05/13 04:04:00,20260513,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceabili,2026/05/13 04:04:00,MES_HOLD
173,WO-LG-2026-0173,TASK-LG-0173,MES_MAKE,Seal Component Assembly,LGACT-PART-014,RT-LGACT-0173,LGACT-2026-0173,003,003,Y,2026/05/14 04:11:00,20260514,Front End Cap aviation manufacturing business record used for actuator quality traceability.,2026/05/14 04:11:00,MES_OPEN
174,WO-LG-2026-0174,TASK-LG-0174,MES_BUY,Actuator Final Assembly,LGACT-PART-015,RT-LGACT-0174,LGACT-2026-0174,004,004,N,2026/05/15 04:18:00,20260515,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,2026/05/15 04:18:00,MES_RUNNING
175,WO-LG-2026-0175,TASK-LG-0175,MES_ASSEMBLY,Pressure Holding Test,LGACT-PART-016,RT-LGACT-0175,LGACT-2026-0175,005,005,Y,2026/05/16 04:25:00,20260516,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,2026/05/16 04:25:00,MES_CLOSED
176,WO-LG-2026-0176,TASK-LG-0176,MES_SERVICE,Extension and Retraction Function Test,LGACT-PART-017,RT-LGACT-0176,LGACT-2026-0176,006,006,Y,2026/05/17 04:32:00,20260517,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,2026/05/17 04:32:00,MES_HOLD
177,WO-LG-2026-0177,TASK-LG-0177,MES_MAKE,Cylinder Barrel Rough Machining,LGACT-PART-018,RT-LGACT-0177,LGACT-2026-0177,007,007,N,2026/05/18 04:39:00,20260518,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,2026/05/18 04:39:00,MES_OPEN
178,WO-LG-2026-0178,TASK-LG-0178,MES_BUY,Piston Rod Precision Grinding,LGACT-PART-019,RT-LGACT-0178,LGACT-2026-0178,008,008,Y,2026/05/19 04:46:00,20260519,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,2026/05/19 04:46:00,MES_RUNNING
179,WO-LG-2026-0179,TASK-LG-0179,MES_ASSEMBLY,Inner Bore Honing,LGACT-PART-020,RT-LGACT-0179,LGACT-2026-0179,009,009,Y,2026/05/20 04:53:00,20260520,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceab,2026/05/20 04:53:00,MES_CLOSED
180,WO-LG-2026-0180,TASK-LG-0180,MES_SERVICE,Chrome Plating Layer Grinding,LGACT-PART-001,RT-LGACT-0180,LGACT-2026-0180,001,001,N,2026/05/21 05:00:00,20260521,Locking Nut aviation manufacturing business record used for actuator quality traceability.,2026/05/21 05:00:00,MES_HOLD
