equipment_asset_id,station_id,equipmentid,equipmentname,equipmentnum,eqtype_code,zhuangtai,bgcolor,indate
173,173,EQ-CF-0173,Coordinate Measuring Machine,003,MES_MAKE,MES_OPEN,Front End Cap aviation manufacturing business reco,2026/05/14 04:11:00
174,174,EQ-CF-0174,Seal Assembly Press,004,MES_BUY,MES_RUNNING,Rear End Cap aviation manufacturing business recor,2026/05/15 04:18:00
175,175,EQ-CF-0175,Hydraulic Pulse Test Bench,005,MES_ASSEMBLY,MES_CLOSED,Seal Ring Assembly aviation manufacturing business,2026/05/16 04:25:00
176,176,EQ-CF-0176,Ultrasonic Cleaning Machine,006,MES_SERVICE,MES_HOLD,Trunnion Bushing aviation manufacturing business r,2026/05/17 04:32:00
177,177,EQ-CF-0177,Hydraulic Integrated Test Bench,007,MES_MAKE,MES_OPEN,Spherical Bearing aviation manufacturing business ,2026/05/18 04:39:00
178,178,EQ-CF-0178,CNC Cylindrical Grinder,008,MES_BUY,MES_RUNNING,Throttle Connector aviation manufacturing business,2026/05/19 04:46:00
179,179,EQ-CF-0179,Inner Bore Honing Machine,009,MES_ASSEMBLY,MES_CLOSED,Displacement Sensor Bracket aviation manufacturing,2026/05/20 04:53:00
180,180,EQ-CF-0180,Chrome Plating Thickness Gauge,001,MES_SERVICE,MES_HOLD,Locking Nut aviation manufacturing business record,2026/05/21 05:00:00
181,181,EQ-CF-0181,Coordinate Measuring Machine,002,MES_MAKE,MES_OPEN,Piston Rod Assembly aviation manufacturing busines,2026/05/22 05:07:00
182,182,EQ-CF-0182,Seal Assembly Press,003,MES_BUY,MES_RUNNING,Cylinder Barrel Assembly aviation manufacturing bu,2026/05/23 05:14:00
183,183,EQ-CF-0183,Hydraulic Pulse Test Bench,004,MES_ASSEMBLY,MES_CLOSED,Front End Cap aviation manufacturing business reco,2026/05/24 05:21:00
184,184,EQ-CF-0184,Ultrasonic Cleaning Machine,005,MES_SERVICE,MES_HOLD,Rear End Cap aviation manufacturing business recor,2026/05/25 05:28:00
185,185,EQ-CF-0185,Hydraulic Integrated Test Bench,006,MES_MAKE,MES_OPEN,Seal Ring Assembly aviation manufacturing business,2026/05/26 05:35:00
186,186,EQ-CF-0186,CNC Cylindrical Grinder,007,MES_BUY,MES_RUNNING,Trunnion Bushing aviation manufacturing business r,2026/05/27 05:42:00
187,187,EQ-CF-0187,Inner Bore Honing Machine,008,MES_ASSEMBLY,MES_CLOSED,Spherical Bearing aviation manufacturing business ,2026/05/28 05:49:00
188,188,EQ-CF-0188,Chrome Plating Thickness Gauge,009,MES_SERVICE,MES_HOLD,Throttle Connector aviation manufacturing business,2026/05/29 05:56:00
189,189,EQ-CF-0189,Coordinate Measuring Machine,001,MES_MAKE,MES_OPEN,Displacement Sensor Bracket aviation manufacturing,2026/05/30 06:03:00
190,190,EQ-CF-0190,Seal Assembly Press,002,MES_BUY,MES_RUNNING,Locking Nut aviation manufacturing business record,2026/05/31 06:10:00
191,191,EQ-CF-0191,Hydraulic Pulse Test Bench,003,MES_ASSEMBLY,MES_CLOSED,Piston Rod Assembly aviation manufacturing busines,2026/06/01 06:17:00
192,192,EQ-CF-0192,Ultrasonic Cleaning Machine,004,MES_SERVICE,MES_HOLD,Cylinder Barrel Assembly aviation manufacturing bu,2026/06/02 06:24:00
193,193,EQ-CF-0193,Hydraulic Integrated Test Bench,005,MES_MAKE,MES_OPEN,Front End Cap aviation manufacturing business reco,2026/06/03 06:31:00
194,194,EQ-CF-0194,CNC Cylindrical Grinder,006,MES_BUY,MES_RUNNING,Rear End Cap aviation manufacturing business recor,2026/06/04 06:38:00
195,195,EQ-CF-0195,Inner Bore Honing Machine,007,MES_ASSEMBLY,MES_CLOSED,Seal Ring Assembly aviation manufacturing business,2026/06/05 06:45:00
196,196,EQ-CF-0196,Chrome Plating Thickness Gauge,008,MES_SERVICE,MES_HOLD,Trunnion Bushing aviation manufacturing business r,2026/06/06 06:52:00
197,197,EQ-CF-0197,Coordinate Measuring Machine,009,MES_MAKE,MES_OPEN,Spherical Bearing aviation manufacturing business ,2026/05/10 06:59:00
198,198,EQ-CF-0198,Seal Assembly Press,001,MES_BUY,MES_RUNNING,Throttle Connector aviation manufacturing business,2026/05/11 07:06:00
199,199,EQ-CF-0199,Hydraulic Pulse Test Bench,002,MES_ASSEMBLY,MES_CLOSED,Displacement Sensor Bracket aviation manufacturing,2026/05/12 07:13:00
200,200,EQ-CF-0200,Ultrasonic Cleaning Machine,003,MES_SERVICE,MES_HOLD,Locking Nut aviation manufacturing business record,2026/05/13 07:20:00
